Index,Div,Date,Time,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,HalfTimeHG,HalfTimeAG,HalfTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellows,AwayYellows,HomeReds,AwayReds,HomeShotsOnTarget_Discrete,AwayShotsOnTarget_Discrete,HomeShots_Discrete,AwayShots_Discrete,HomeFouls_Discrete,AwayFouls_Discrete,Result_Discrete,Result_Encoded
0,SP1,3/17/2024,Afternoon,Sevilla,Celta,1,2,A,1.0,0.0,H,11.0,18.0,4.0,5.0,13.0,6.0,3.0,8.0,4.0,0.0,0.0,0.0,LowHomeShotsOnTarget,HighAwayShotsOnTarget,LowHomeShots,HighAwayShots,LowHomeFouls,LowAwayFouls,-1,Loss
1,SP1,3/17/2024,Afternoon,Las Palmas,Almeria,0,1,A,0.0,1.0,A,21.0,3.0,6.0,2.0,8.0,17.0,11.0,3.0,2.0,2.0,0.0,0.0,MediumHomeShotsOnTarget,LowAwayShotsOnTarget,HighHomeShots,LowAwayShots,LowHomeFouls,HighAwayFouls,-1,Loss
2,SP1,3/17/2024,Afternoon,Villarreal,Valencia,1,0,H,0.0,0.0,D,13.0,14.0,7.0,7.0,12.0,12.0,6.0,2.0,5.0,1.0,0.0,0.0,HighHomeShotsOnTarget,HighAwayShotsOnTarget,MediumHomeShots,HighAwayShots,LowHomeFouls,LowAwayFouls,1,Win <2
3,SP1,3/17/2024,Evening,Vallecano,Betis,2,0,H,1.0,0.0,H,8.0,11.0,4.0,1.0,22.0,16.0,4.0,8.0,4.0,4.0,0.0,0.0,LowHomeShotsOnTarget,LowAwayShotsOnTarget,LowHomeShots,MediumAwayShots,HighHomeFouls,MediumAwayFouls,1,Win <2
4,SP1,3/17/2024,Night,Ath Madrid,Barcelona,0,3,A,0.0,1.0,A,12.0,9.0,3.0,5.0,15.0,9.0,7.0,3.0,3.0,1.0,1.0,0.0,LowHomeShotsOnTarget,HighAwayShotsOnTarget,MediumHomeShots,LowAwayShots,MediumHomeFouls,LowAwayFouls,-1,Loss
5,SP1,3/16/2024,Afternoon,Mallorca,Granada,1,0,H,0.0,0.0,D,18.0,8.0,8.0,3.0,17.0,9.0,10.0,2.0,2.0,0.0,0.0,0.0,HighHomeShotsOnTarget,LowAwayShotsOnTarget,HighHomeShots,LowAwayShots,MediumHomeFouls,LowAwayFouls,1,Win <2
6,SP1,3/16/2024,Afternoon,Osasuna,Real Madrid,2,4,A,1.0,2.0,A,9.0,17.0,4.0,9.0,18.0,9.0,5.0,7.0,3.0,2.0,0.0,0.0,LowHomeShotsOnTarget,HighAwayShotsOnTarget,LowHomeShots,HighAwayShots,HighHomeFouls,LowAwayFouls,-1,Loss
7,SP1,3/16/2024,Evening,Getafe,Girona,1,0,H,1.0,0.0,H,11.0,13.0,3.0,3.0,16.0,13.0,2.0,5.0,4.0,4.0,0.0,0.0,LowHomeShotsOnTarget,LowAwayShotsOnTarget,LowHomeShots,HighAwayShots,MediumHomeFouls,MediumAwayFouls,1,Win <2
8,SP1,3/16/2024,Night,Ath Bilbao,Alaves,2,0,H,2.0,0.0,H,16.0,7.0,4.0,3.0,7.0,13.0,5.0,4.0,1.0,3.0,0.0,0.0,LowHomeShotsOnTarget,LowAwayShotsOnTarget,HighHomeShots,LowAwayShots,LowHomeFouls,MediumAwayFouls,1,Win <2
9,SP1,3/15/2024,Night,Sociedad,Cadiz,2,0,H,1.0,0.0,H,14.0,13.0,6.0,2.0,15.0,6.0,8.0,2.0,3.0,1.0,0.0,0.0,MediumHomeShotsOnTarget,LowAwayShotsOnTarget,MediumHomeShots,HighAwayShots,MediumHomeFouls,LowAwayFouls,1,Win <2
10,SP1,3/11/2024,Night,Almeria,Sevilla,2,2,D,1.0,0.0,H,14.0,19.0,4.0,6.0,6.0,11.0,1.0,8.0,2.0,2.0,0.0,0.0,LowHomeShotsOnTarget,HighAwayShotsOnTarget,MediumHomeShots,HighAwayShots,LowHomeFouls,LowAwayFouls,0,Draw
11,SP1,3/10/2024,Afternoon,Alaves,Vallecano,1,0,H,1.0,0.0,H,12.0,9.0,4.0,3.0,13.0,10.0,7.0,5.0,2.0,2.0,0.0,0.0,LowHomeShotsOnTarget,LowAwayShotsOnTarget,MediumHomeShots,LowAwayShots,LowHomeFouls,LowAwayFouls,1,Win <2
12,SP1,3/10/2024,Afternoon,Las Palmas,Ath Bilbao,0,2,A,0.0,1.0,A,14.0,7.0,2.0,2.0,8.0,14.0,10.0,3.0,3.0,3.0,0.0,0.0,LowHomeShotsOnTarget,LowAwayShotsOnTarget,MediumHomeShots,LowAwayShots,LowHomeFouls,MediumAwayFouls,-1,Loss
13,SP1,3/10/2024,Evening,Real Madrid,Celta,4,0,H,1.0,0.0,H,24.0,11.0,13.0,1.0,8.0,13.0,12.0,1.0,2.0,3.0,0.0,0.0,HighHomeShotsOnTarget,LowAwayShotsOnTarget,HighHomeShots,MediumAwayShots,LowHomeFouls,MediumAwayFouls,1,Win >2
14,SP1,3/10/2024,Night,Betis,Villarreal,2,3,A,2.0,1.0,H,13.0,6.0,4.0,4.0,12.0,17.0,11.0,4.0,3.0,4.0,1.0,1.0,LowHomeShotsOnTarget,MediumAwayShotsOnTarget,MediumHomeShots,LowAwayShots,LowHomeFouls,HighAwayFouls,-1,Loss
15,SP1,3/9/2024,Afternoon,Valencia,Getafe,1,0,H,1.0,0.0,H,10.0,15.0,3.0,5.0,10.0,19.0,5.0,5.0,2.0,3.0,0.0,0.0,LowHomeShotsOnTarget,HighAwayShotsOnTarget,LowHomeShots,HighAwayShots,LowHomeFouls,HighAwayFouls,1,Win <2
16,SP1,3/9/2024,Afternoon,Cadiz,Ath Madrid,2,0,H,1.0,0.0,H,7.0,8.0,3.0,4.0,20.0,15.0,3.0,1.0,4.0,5.0,0.0,0.0,LowHomeShotsOnTarget,MediumAwayShotsOnTarget,LowHomeShots,LowAwayShots,HighHomeFouls,MediumAwayFouls,1,Win <2
17,SP1,3/9/2024,Evening,Granada,Sociedad,2,3,A,2.0,1.0,H,13.0,11.0,6.0,8.0,17.0,11.0,4.0,6.0,1.0,2.0,0.0,0.0,MediumHomeShotsOnTarget,HighAwayShotsOnTarget,MediumHomeShots,MediumAwayShots,MediumHomeFouls,LowAwayFouls,-1,Loss
18,SP1,3/9/2024,Night,Girona,Osasuna,2,0,H,1.0,0.0,H,11.0,7.0,6.0,1.0,10.0,16.0,5.0,7.0,3.0,3.0,0.0,0.0,MediumHomeShotsOnTarget,LowAwayShotsOnTarget,LowHomeShots,LowAwayShots,LowHomeFouls,MediumAwayFouls,1,Win <2
19,SP1,3/8/2024,Night,Barcelona,Mallorca,1,0,H,0.0,0.0,D,20.0,9.0,6.0,3.0,9.0,14.0,4.0,1.0,1.0,1.0,0.0,0.0,MediumHomeShotsOnTarget,LowAwayShotsOnTarget,HighHomeShots,LowAwayShots,LowHomeFouls,MediumAwayFouls,1,Win <2
20,SP1,3/4/2024,Night,Osasuna,Alaves,1,0,H,0.0,0.0,D,15.0,10.0,4.0,4.0,15.0,11.0,5.0,5.0,2.0,1.0,0.0,0.0,LowHomeShotsOnTarget,MediumAwayShotsOnTarget,MediumHomeShots,MediumAwayShots,MediumHomeFouls,LowAwayFouls,1,Win <2
21,SP1,3/3/2024,Afternoon,Villarreal,Granada,5,1,H,3.0,0.0,H,16.0,9.0,10.0,3.0,12.0,15.0,6.0,4.0,1.0,2.0,0.0,0.0,HighHomeShotsOnTarget,LowAwayShotsOnTarget,HighHomeShots,LowAwayShots,LowHomeFouls,MediumAwayFouls,1,Win >2
22,SP1,3/3/2024,Afternoon,Ath Madrid,Betis,2,1,H,2.0,0.0,H,17.0,12.0,12.0,6.0,9.0,12.0,4.0,6.0,1.0,2.0,0.0,0.0,HighHomeShotsOnTarget,HighAwayShotsOnTarget,HighHomeShots,MediumAwayShots,LowHomeFouls,LowAwayFouls,1,Win <2
23,SP1,3/3/2024,Evening,Mallorca,Girona,1,0,H,1.0,0.0,H,16.0,15.0,2.0,4.0,19.0,9.0,8.0,5.0,5.0,0.0,0.0,0.0,LowHomeShotsOnTarget,MediumAwayShotsOnTarget,HighHomeShots,HighAwayShots,HighHomeFouls,LowAwayFouls,1,Win <2
24,SP1,3/3/2024,Night,Ath Bilbao,Barcelona,0,0,D,0.0,0.0,D,8.0,8.0,2.0,2.0,14.0,11.0,4.0,4.0,3.0,3.0,0.0,0.0,LowHomeShotsOnTarget,LowAwayShotsOnTarget,LowHomeShots,LowAwayShots,MediumHomeFouls,LowAwayFouls,0,Draw
25,SP1,3/2/2024,Afternoon,Sevilla,Sociedad,3,2,H,2.0,1.0,H,12.0,13.0,5.0,4.0,12.0,15.0,2.0,5.0,1.0,2.0,0.0,0.0,MediumHomeShotsOnTarget,MediumAwayShotsOnTarget,MediumHomeShots,HighAwayShots,LowHomeFouls,MediumAwayFouls,1,Win <2
26,SP1,3/2/2024,Afternoon,Vallecano,Cadiz,1,1,D,0.0,0.0,D,9.0,16.0,5.0,5.0,14.0,17.0,4.0,9.0,1.0,1.0,0.0,0.0,MediumHomeShotsOnTarget,HighAwayShotsOnTarget,LowHomeShots,HighAwayShots,MediumHomeFouls,HighAwayFouls,0,Draw
27,SP1,3/2/2024,Evening,Getafe,Las Palmas,3,3,D,3.0,1.0,H,16.0,14.0,5.0,5.0,28.0,9.0,4.0,4.0,4.0,1.0,0.0,0.0,MediumHomeShotsOnTarget,HighAwayShotsOnTarget,HighHomeShots,HighAwayShots,HighHomeFouls,LowAwayFouls,0,Draw
28,SP1,3/2/2024,Night,Valencia,Real Madrid,2,2,D,2.0,1.0,H,12.0,10.0,5.0,5.0,18.0,11.0,2.0,2.0,2.0,3.0,0.0,1.0,MediumHomeShotsOnTarget,HighAwayShotsOnTarget,MediumHomeShots,MediumAwayShots,HighHomeFouls,LowAwayFouls,0,Draw
29,SP1,3/1/2024,Night,Celta,Almeria,1,0,H,0.0,0.0,D,15.0,3.0,6.0,0.0,8.0,14.0,7.0,0.0,1.0,2.0,0.0,1.0,MediumHomeShotsOnTarget,LowAwayShotsOnTarget,MediumHomeShots,LowAwayShots,LowHomeFouls,MediumAwayFouls,1,Win <2
30,SP1,2/26/2024,Night,Girona,Vallecano,3,0,H,0.0,0.0,D,14.0,7.0,8.0,1.0,13.0,16.0,2.0,2.0,3.0,5.0,0.0,1.0,HighHomeShotsOnTarget,LowAwayShotsOnTarget,MediumHomeShots,LowAwayShots,LowHomeFouls,MediumAwayFouls,1,Win >2
31,SP1,2/25/2024,Afternoon,Cadiz,Celta,2,2,D,0.0,1.0,A,19.0,7.0,6.0,3.0,13.0,20.0,9.0,1.0,2.0,3.0,0.0,0.0,MediumHomeShotsOnTarget,LowAwayShotsOnTarget,HighHomeShots,LowAwayShots,LowHomeFouls,HighAwayFouls,0,Draw
32,SP1,2/25/2024,Afternoon,Betis,Ath Bilbao,3,1,H,2.0,1.0,H,13.0,3.0,5.0,1.0,14.0,12.0,5.0,3.0,1.0,6.0,0.0,1.0,MediumHomeShotsOnTarget,LowAwayShotsOnTarget,MediumHomeShots,LowAwayShots,MediumHomeFouls,LowAwayFouls,1,Win <2
33,SP1,2/25/2024,Evening,Las Palmas,Osasuna,1,1,D,0.0,0.0,D,9.0,6.0,3.0,2.0,6.0,15.0,6.0,7.0,2.0,1.0,0.0,0.0,LowHomeShotsOnTarget,LowAwayShotsOnTarget,LowHomeShots,LowAwayShots,LowHomeFouls,MediumAwayFouls,0,Draw
34,SP1,2/25/2024,Night,Real Madrid,Sevilla,1,0,H,0.0,0.0,D,16.0,4.0,6.0,1.0,10.0,13.0,7.0,2.0,1.0,3.0,0.0,0.0,MediumHomeShotsOnTarget,LowAwayShotsOnTarget,HighHomeShots,LowAwayShots,LowHomeFouls,MediumAwayFouls,1,Win <2
35,SP1,2/24/2024,Afternoon,Barcelona,Getafe,4,0,H,1.0,0.0,H,17.0,10.0,9.0,4.0,12.0,18.0,5.0,8.0,1.0,4.0,0.0,0.0,HighHomeShotsOnTarget,MediumAwayShotsOnTarget,HighHomeShots,MediumAwayShots,LowHomeFouls,HighAwayFouls,1,Win >2
36,SP1,2/24/2024,Evening,Alaves,Mallorca,1,1,D,0.0,0.0,D,9.0,15.0,1.0,8.0,7.0,15.0,3.0,3.0,0.0,2.0,0.0,0.0,LowHomeShotsOnTarget,HighAwayShotsOnTarget,LowHomeShots,HighAwayShots,LowHomeFouls,MediumAwayFouls,0,Draw
37,SP1,2/24/2024,Night,Almeria,Ath Madrid,2,2,D,1.0,1.0,D,9.0,18.0,4.0,9.0,13.0,12.0,2.0,7.0,1.0,1.0,0.0,0.0,LowHomeShotsOnTarget,HighAwayShotsOnTarget,LowHomeShots,HighAwayShots,LowHomeFouls,LowAwayFouls,0,Draw
