Div,Date,Time,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,HalfTimeHG,HalfTimeAG,HalfTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellows,AwayYellows,HomeReds,AwayReds
SP1,3/17/2024,13:00,Sevilla,Celta,1,2,A,1,0,H,11,18,4,5,13,6,3,8,4,0,0,0
SP1,3/17/2024,15:15,Las Palmas,Almeria,0,1,A,0,1,A,21,3,6,2,8,17,11,3,2,2,0,0
SP1,3/17/2024,15:15,Villarreal,Valencia,1,0,H,0,0,D,13,14,7,7,12,12,6,2,5,1,0,0
SP1,3/17/2024,17:30,Vallecano,Betis,2,0,H,1,0,H,8,11,4,1,22,16,4,8,4,4,0,0
SP1,3/17/2024,20:00,Ath Madrid,Barcelona,0,3,A,0,1,A,12,9,3,5,15,9,7,3,3,1,1,0
SP1,3/16/2024,13:00,Mallorca,Granada,1,0,H,0,0,D,18,8,8,3,17,9,10,2,2,0,0,0
SP1,3/16/2024,15:15,Osasuna,Real Madrid,2,4,A,1,2,A,9,17,4,9,18,9,5,7,3,2,0,0
SP1,3/16/2024,17:30,Getafe,Girona,1,0,H,1,0,H,11,13,3,3,16,13,2,5,4,4,0,0
SP1,3/16/2024,20:00,Ath Bilbao,Alaves,2,0,H,2,0,H,16,7,4,3,7,13,5,4,1,3,0,0
SP1,3/15/2024,20:00,Sociedad,Cadiz,2,0,H,1,0,H,14,13,6,2,15,6,8,2,3,1,0,0
SP1,3/11/2024,20:00,Almeria,Sevilla,2,2,D,1,0,H,14,19,4,6,6,11,1,8,2,2,0,0
SP1,3/10/2024,13:00,Alaves,Vallecano,1,0,H,1,0,H,12,9,4,3,13,10,7,5,2,2,0,0
SP1,3/10/2024,15:15,Las Palmas,Ath Bilbao,0,2,A,0,1,A,14,7,2,2,8,14,10,3,3,3,0,0
SP1,3/10/2024,17:30,Real Madrid,Celta,4,0,H,1,0,H,24,11,13,1,8,13,12,1,2,3,0,0
SP1,3/10/2024,20:00,Betis,Villarreal,2,3,A,2,1,H,13,6,4,4,12,17,11,4,3,4,1,1
SP1,3/9/2024,13:00,Valencia,Getafe,1,0,H,1,0,H,10,15,3,5,10,19,5,5,2,3,0,0
SP1,3/9/2024,15:15,Cadiz,Ath Madrid,2,0,H,1,0,H,7,8,3,4,20,15,3,1,4,5,0,0
SP1,3/9/2024,17:30,Granada,Sociedad,2,3,A,2,1,H,13,11,6,8,17,11,4,6,1,2,0,0
SP1,3/9/2024,20:00,Girona,Osasuna,2,0,H,1,0,H,11,7,6,1,10,16,5,7,3,3,0,0
SP1,3/8/2024,20:00,Barcelona,Mallorca,1,0,H,0,0,D,20,9,6,3,9,14,4,1,1,1,0,0
SP1,3/4/2024,20:00,Osasuna,Alaves,1,0,H,0,0,D,15,10,4,4,15,11,5,5,2,1,0,0
SP1,3/3/2024,13:00,Villarreal,Granada,5,1,H,3,0,H,16,9,10,3,12,15,6,4,1,2,0,0
SP1,3/3/2024,15:15,Ath Madrid,Betis,2,1,H,2,0,H,17,12,12,6,9,12,4,6,1,2,0,0
SP1,3/3/2024,17:30,Mallorca,Girona,1,0,H,1,0,H,16,15,2,4,19,9,8,5,5,0,0,0
SP1,3/3/2024,20:00,Ath Bilbao,Barcelona,0,0,D,0,0,D,8,8,2,2,14,11,4,4,3,3,0,0
SP1,3/2/2024,13:00,Sevilla,Sociedad,3,2,H,2,1,H,12,13,5,4,12,15,2,5,1,2,0,0
SP1,3/2/2024,15:15,Vallecano,Cadiz,1,1,D,0,0,D,9,16,5,5,14,17,4,9,1,1,0,0
SP1,3/2/2024,17:30,Getafe,Las Palmas,3,3,D,3,1,H,16,14,5,5,28,9,4,4,4,1,0,0
SP1,3/2/2024,20:00,Valencia,Real Madrid,2,2,D,2,1,H,12,10,5,5,18,11,2,2,2,3,0,1
SP1,3/1/2024,20:00,Celta,Almeria,1,0,H,0,0,D,15,3,6,0,8,14,7,0,1,2,0,1
SP1,2/26/2024,20:00,Girona,Vallecano,3,0,H,0,0,D,14,7,8,1,13,16,2,2,3,5,0,1
SP1,2/25/2024,13:00,Cadiz,Celta,2,2,D,0,1,A,19,7,6,3,13,20,9,1,2,3,0,0
SP1,2/25/2024,15:15,Betis,Ath Bilbao,3,1,H,2,1,H,13,3,5,1,14,12,5,3,1,6,0,1
SP1,2/25/2024,17:30,Las Palmas,Osasuna,1,1,D,0,0,D,9,6,3,2,6,15,6,7,2,1,0,0
SP1,2/25/2024,20:00,Real Madrid,Sevilla,1,0,H,0,0,D,16,4,6,1,10,13,7,2,1,3,0,0
SP1,2/24/2024,15:15,Barcelona,Getafe,4,0,H,1,0,H,17,10,9,4,12,18,5,8,1,4,0,0
SP1,2/24/2024,17:30,Alaves,Mallorca,1,1,D,0,0,D,9,15,1,8,7,15,3,3,0,2,0,0
SP1,2/24/2024,20:00,Almeria,Ath Madrid,2,2,D,1,1,D,9,18,4,9,13,12,2,7,1,1,0,0
SP1,2/23/2024,20:00,Sociedad,Villarreal,1,3,A,0,1,A,21,6,8,4,15,14,13,2,3,4,0,0
SP1,2/19/2024,20:00,Ath Bilbao,Girona,3,2,H,1,0,H,14,12,7,6,16,13,3,4,1,2,0,0
SP1,2/18/2024,13:00,Vallecano,Real Madrid,1,1,D,1,1,D,8,11,3,4,17,7,4,10,4,3,0,1
SP1,2/18/2024,15:15,Granada,Almeria,1,1,D,0,1,A,19,13,7,3,13,22,10,4,2,3,0,0
SP1,2/18/2024,17:30,Mallorca,Sociedad,1,2,A,1,1,D,4,19,1,5,12,18,3,9,7,5,1,0
SP1,2/18/2024,20:00,Betis,Alaves,0,0,D,0,0,D,13,13,2,4,13,9,6,8,5,2,0,0
